Skip,API Field Name,Group,Common Name,Type,Query,Description
true,pct_371_date,pct_data,Date,date,Y,"PCT Section 371(c)(1)(2)(4)date, date when PCT application was filed"
true,pct_date,pct_data,Date,date,Y,Date when PCT document was filed or published
true,rawinventor_last_name,rawinventors,Last Name,string,Y,Inventor last name before disambiguation as listed on the selected patent
true,rawinventor_first_name,rawinventors,First Name,string,Y,Inventor first name before disambiguation as listed on the selected patent
true,uspc_subclass_title,uspcs,Subclass Title,string,Y,Description of USPC subclass
true,uspc_subclass_id,uspcs,Subclass ID,string,Y,ID of USPC subclass
true,uspc_total_num_assignees,uspcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a USPC mainclass
true,uspc_total_num_patents,uspcs,Total Number of Patents,integer,Y,Total number of patents within a USPC mainclass
true,uspc_total_num_inventors,uspcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents  within a USPC mainclass
true,uspc_last_seen_date,uspcs,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a USPC mainclass
true,uspc_first_seen_date,uspcs,First Seen Date,date,Y,Grant date of the earliest patent in the database within a USPC mainclass
true,uspc_mainclass_id,uspcs,Mainclass ID,string,Y,ID of the USPC mainclass
true,uspc_sequence,uspcs,Sequence,integer,Y,Order of the USPC classification in the list of classifications for the selected patent
true,uspc_mainclass_title,uspcs,Mainclass Title,string,Y,Description of USPC mainclass
true,wipo_sector_title,wipos,Technology Sector Title,string,Y,Description of WIPO technology sector
true,wipo_sequence,wipos,Sequence,integer,Y,Order of the WIPO technology field in the list of technology fields for the selected patent
true,wipo_field_id,wipos,WIPO Technology Field ID,integer,Y,ID of WIPO technology field
true,wipo_field_title,wipos,Technology Field Title,string,Y,Description of WIPO technology field
true,
